tiempo,vision x,vision y,tipo estimulo A,tipo estimulo B,tipo estimulo C,AX,AY,BX,BY,CX,CY,recargando?,municion
"0,0000",1194,225,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,0200",932,323,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,0962",923,337,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,2246",873,316,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,3525",880,388,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,4810",863,422,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,6104",855,437,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,7539",948,316,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,8823",980,307,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,0103",881,358,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,1553",557,490,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,2837",490,524,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,4121",482,534,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,5405",491,533,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,7524",938,481,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,8135",921,481,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,9414",1212,503,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"2,0698",1352,473,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"2,1992",1338,495,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"2,3423",1001,265,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"2,4707",985,221,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"2,6011",1016,153,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"2,7437",989,158,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"2,8716",967,246,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"3,0005",948,278,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"3,1289",953,291,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"3,2729",954,287,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"3,4014",957,292,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"3,5293",807,334,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"3,6860",1062,488,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"3,8027",1078,476,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"3,9307",1080,461,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"4,0591",764,435,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"4,2031",719,432,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"4,4385",541,272,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"4,5400",383,217,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"4,6045",317,192,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"4,7329",391,182,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"4,8613",1182,435,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"4,9907",1174,448,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"5,1343",1017,471,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"5,2622",777,431,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"5,3916",853,461,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"5,5352",941,442,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"5,6636",878,489,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"5,7925",776,511,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"5,9360",804,555,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
