tiempo;x;y;posicion_1;posicion_2;posicion_3;posicion_4;posicion_5;posicion_6;posicion_7;posicion_8;posicion_9;posicion_10;posicion_11;posicion_12;posicion_13;posicion_14;posicion_15;posicion_16
0,0000;1480;203;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,0200;1479;203;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,0404;1479;202;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,0613;1480;202;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,0823;1480;202;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,1030;1480;202;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,1238;1481;201;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,1446;1481;201;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,1655;1482;201;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,1862;1446;223;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,2071;1301;324;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,2279;1109;442;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,2487;987;526;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,2695;952;552;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,2903;927;569;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,3112;916;580;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,3321;908;590;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,3529;906;591;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,3737;908;591;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,3945;910;590;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,4152;907;590;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,4362;906;590;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
0,4570;905;588;(591,908);(837,908);(1082,908);(1328,908);(591,662);(837,662);(1082,662);(1328,662);(591,417);(837,417);(1082,417);(1328,417);(591,171);(837,171);(1082,171);(1328,171)
