tiempo;vision x;vision y;tipo estimulo A;tipo estimulo B;tipo estimulo C;AX;AY;BX;BY;CX;CY;recargando?;municion
0,0000;1061;511;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;100
0,0200;1170;331;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,0479;1170;331;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,0746;1170;331;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,1015;1028;472;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,1289;1005;513;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,1555;968;554;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,1828;930;588;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,2095;919;600;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,2362;908;612;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,2637;905;615;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,2909;901;616;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,3188;900;615;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,3459;899;618;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,3729;899;618;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,3997;899;619;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,4278;899;620;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,4554;899;621;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,4830;899;621;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,5098;879;618;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,5383;691;581;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,5665;545;546;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,5939;425;516;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,6201;404;513;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,6490;391;509;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,6765;394;508;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,7044;400;508;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,7320;404;510;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,7606;413;508;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,7883;420;507;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,8153;428;505;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,8425;433;506;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,8721;441;505;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,8997;446;505;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,9260;457;507;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,9536;465;506;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,9816;481;505;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,0091;579;512;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,0361;792;517;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,0640;884;514;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,0921;942;519;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,1190;955;521;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,1458;964;522;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,1745;966;522;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,2020;1011;487;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,2290;1037;465;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,2564;1037;465;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,2842;1161;548;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,3113;1296;503;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,3391;1310;512;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,3661;1322;528;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,3930;1325;532;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,4194;1327;531;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,4458;1331;532;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,4724;1335;531;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,4996;1337;531;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,5257;1337;531;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,5520;1337;531;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,5790;824;472;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,6059;721;488;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,6329;650;511;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,6601;626;519;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,6864;615;524;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,7131;607;528;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,7393;606;529;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,7658;605;527;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,7935;603;523;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,8199;602;521;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,8461;602;520;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,8729;601;520;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,8993;602;521;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,9260;602;521;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,9528;602;520;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,9791;603;519;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,0053;603;518;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,0318;602;518;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,0588;601;517;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,0854;601;515;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,1120;600;514;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,1385;600;514;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,1651;600;514;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,1917;601;514;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,2182;602;514;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,2445;602;514;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,2709;602;514;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,2970;602;514;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,3232;698;434;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,3492;708;442;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,3764;706;480;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,4037;696;507;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,4315;687;526;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,4595;684;541;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,4869;683;545;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,5138;680;553;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,5414;677;554;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,5695;678;557;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,5975;678;558;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,6250;677;557;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,6528;687;558;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,6803;811;545;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,7078;897;534;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,7362;978;522;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,7631;999;519;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,7913;1021;522;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,8189;1027;524;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,8463;1028;525;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,8739;1029;523;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,9020;1030;521;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,9290;1033;521;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,9561;1049;506;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,9836;1130;422;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,0107;1130;422;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,0381;1130;422;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,0656;1130;422;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,0939;1064;369;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,1217;1046;403;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,1495;1038;430;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,1768;1015;470;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,2046;1005;489;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,2319;979;531;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,2587;980;536;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,2859;980;536;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,3133;980;536;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,3410;980;536;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,3681;1025;459;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,3946;1018;478;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
