col_0;col_1;col_2;col_3;col_4;col_5;col_6;col_7;col_8;col_9;col_10
0,0000;1476;136;0;0;0;0;0;0;0;0
0,0200;1476;137;0;0;0;0;0;0;0;0
0,0413;1475;138;0;0;0;0;0;0;0;0
0,0622;1475;140;0;0;0;0;0;0;0;0
0,0840;1474;140;0;0;0;0;0;0;0;0
0,1038;1472;140;0;0;0;0;0;0;0;0
0,1247;1472;140;0;0;0;0;0;0;0;0
0,1452;1472;140;0;0;0;0;0;0;0;0
0,1668;1473;140;0;0;0;0;0;0;0;0
0,1872;1453;154;0;0;0;0;0;0;0;0
0,2087;1291;263;0;0;0;0;0;0;0;0
0,2289;1103;363;0;0;0;0;0;0;0;0
0,2497;991;423;0;0;0;0;0;0;0;0
0,2703;931;457;0;0;0;0;0;0;0;0
0,2914;919;462;0;0;0;0;0;0;0;0
0,3119;906;466;0;0;0;0;0;0;0;0
0,3327;900;469;0;0;0;0;0;0;0;0
0,3536;896;470;0;0;0;0;0;0;0;0
0,3746;894;472;0;0;0;0;0;0;0;0
0,3955;895;470;0;0;0;0;0;0;0;0
0,4164;896;469;0;0;0;0;0;0;0;0
0,4372;897;472;0;0;0;0;0;0;0;0
0,4580;896;473;0;0;0;0;0;0;0;0
0,4788;895;469;0;0;0;0;0;0;0;0
0,4996;894;469;0;0;0;0;0;0;0;0
0,5203;893;470;0;0;0;0;0;0;0;0
0,5412;891;469;0;0;0;0;0;0;0;0
0,5622;890;468;0;0;0;0;0;0;0;0
0,5836;889;468;0;0;0;0;0;0;0;0
0,6035;890;466;0;0;0;0;0;0;0;0
0,6246;891;466;0;0;0;0;0;0;0;0
0,6454;892;465;0;0;0;0;0;0;0;0
0,6663;893;466;0;0;0;0;0;0;0;0
0,6871;893;467;0;0;0;0;0;0;0;0
0,7086;894;467;0;0;0;0;0;0;0;0
0,7288;889;469;0;0;0;0;0;0;0;0
0,7497;839;482;0;0;0;0;0;0;0;0
0,7704;727;501;0;0;0;0;0;0;0;0
0,7913;681;504;0;0;0;0;0;0;0;0
0,8120;612;508;0;0;0;0;0;0;0;0
0,8328;582;516;0;0;0;0;0;0;0;0
0,8537;568;522;0;0;0;0;0;0;0;0
0,8753;561;525;0;0;0;0;0;0;0;0
0,8960;561;522;0;0;0;0;0;0;0;0
0,9168;564;523;0;0;0;0;0;0;0;0
0,9376;568;524;0;0;0;0;0;0;0;0
0,9579;571;524;0;0;0;0;0;0;0;0
0,9787;575;525;0;0;0;0;0;0;0;0
0,9995;603;523;0;0;0;0;0;0;0;0
1,0204;623;521;0;0;0;0;0;0;0;0
1,0413;644;521;0;0;0;0;0;0;0;0
1,0619;662;519;0;0;0;0;0;0;0;0
1,0827;677;518;0;0;0;0;0;0;0;0
1,1037;722;519;0;0;0;0;0;0;0;0
1,1246;777;517;0;0;0;0;0;0;0;0
1,1456;879;510;0;0;0;0;0;0;0;0
1,1659;959;510;0;0;0;0;0;0;0;0
1,1870;1002;510;0;0;0;0;0;0;0;0
1,2076;1016;509;0;0;0;0;0;0;0;0
1,2285;1026;511;0;0;0;0;0;0;0;0
1,2495;1032;510;0;0;0;0;0;0;0;0
1,2701;1033;510;0;0;0;0;0;0;0;0
1,2911;1033;510;0;0;0;0;0;0;0;0
1,3120;1034;510;0;0;0;0;0;0;0;0
1,3326;1035;509;0;0;0;0;0;0;0;0
1,3536;1038;509;0;0;0;0;0;0;0;0
1,3745;1037;510;0;0;0;0;0;0;0;0
1,3950;997;510;0;0;0;0;0;0;0;0
1,4162;934;509;0;0;0;0;0;0;0;0
1,4376;869;504;0;0;0;0;0;0;0;0
1,4577;812;508;0;0;0;0;0;0;0;0
1,4786;794;510;0;0;0;0;0;0;0;0
1,4995;770;514;0;0;0;0;0;0;0;0
1,5209;753;516;0;0;0;0;0;0;0;0
1,5418;744;517;0;0;0;0;0;0;0;0
1,5626;707;523;0;0;0;0;0;0;0;0
1,5834;576;578;0;0;0;0;0;0;0;0
1,6043;412;633;0;0;0;0;0;0;0;0
1,6244;310;665;0;0;0;0;0;0;0;0
1,6453;277;677;0;0;0;0;0;0;0;0
1,6661;241;696;0;0;0;0;0;0;0;0
1,6866;226;704;0;0;0;0;0;0;0;0
1,7077;219;709;0;0;0;0;0;0;0;0
1,7285;215;709;0;0;0;0;0;0;0;0
1,7494;212;708;0;0;0;0;0;0;0;0
1,7709;211;711;0;0;0;0;0;0;0;0
1,7919;209;712;0;0;0;0;0;0;0;0
1,8119;208;713;0;0;0;0;0;0;0;0
1,8332;209;712;0;0;0;0;0;0;0;0
1,8543;209;711;0;0;0;0;0;0;0;0
1,8751;209;710;0;0;0;0;0;0;0;0
1,8950;252;694;0;0;0;0;0;0;0;0
1,9160;367;646;0;0;0;0;0;0;0;0
1,9369;492;595;0;0;0;0;0;0;0;0
1,9577;593;549;0;0;0;0;0;0;0;0
1,9786;621;535;0;0;0;0;0;0;0;0
1,9993;640;523;0;0;0;0;0;0;0;0
2,0201;652;520;0;0;0;0;0;0;0;0
2,0411;657;518;0;0;0;0;0;0;0;0
2,0626;662;517;0;0;0;0;0;0;0;0
2,0833;665;519;0;0;0;0;0;0;0;0
2,1042;667;520;0;0;0;0;0;0;0;0
2,1244;668;520;0;0;0;0;0;0;0;0
2,1450;669;519;0;0;0;0;0;0;0;0
2,1660;669;516;0;0;0;0;0;0;0;0
2,1875;669;514;0;0;0;0;0;0;0;0
2,2084;669;513;0;0;0;0;0;0;0;0
2,2283;670;509;0;0;0;0;0;0;0;0
2,2494;670;506;0;0;0;0;0;0;0;0
2,2701;656;507;0;0;0;0;0;0;0;0
2,2908;656;507;0;0;0;0;0;0;0;0
2,3117;656;507;0;0;0;0;0;0;0;0
2,3326;656;507;0;0;0;0;0;0;0;0
2,3534;966;238;0;0;0;0;0;0;0;0
2,3743;979;217;0;0;0;0;0;0;0;0
2,3949;950;271;0;0;0;0;0;0;0;0
2,4159;919;343;0;0;0;0;0;0;0;0
2,4368;893;408;0;0;0;0;0;0;0;0
2,4584;876;443;0;0;0;0;0;0;0;0
2,4784;871;453;0;0;0;0;0;0;0;0
2,4993;867;465;0;0;0;0;0;0;0;0
2,5199;864;472;0;0;0;0;0;0;0;0
2,5409;863;476;0;0;0;0;0;0;0;0
2,5617;863;475;0;0;0;0;0;0;0;0
2,5826;863;476;0;0;0;0;0;0;0;0
2,6033;862;478;0;0;0;0;0;0;0;0
2,6252;861;476;0;0;0;0;0;0;0;0
2,6458;861;475;0;0;0;0;0;0;0;0
2,6657;862;475;0;0;0;0;0;0;0;0
2,6876;863;475;0;0;0;0;0;0;0;0
2,7082;863;475;0;0;0;0;0;0;0;0
2,7291;864;475;0;0;0;0;0;0;0;0
2,7499;865;474;0;0;0;0;0;0;0;0
2,7707;867;472;0;0;0;0;0;0;0;0
2,7906;867;471;0;0;0;0;0;0;0;0
2,8116;868;470;0;0;0;0;0;0;0;0
2,8322;869;468;0;0;0;0;0;0;0;0
2,8533;868;468;0;0;0;0;0;0;0;0
2,8740;868;468;0;0;0;0;0;0;0;0
2,8949;868;468;0;0;0;0;0;0;0;0
2,9163;868;468;0;0;0;0;0;0;0;0
2,9367;1067;461;0;0;0;0;0;0;0;0
2,9576;1079;449;0;0;0;0;0;0;0;0
2,9783;1096;452;0;0;0;0;0;0;0;0
2,9992;1130;463;0;0;0;0;0;0;0;0
3,0200;1154;472;0;0;0;0;0;0;0;0
3,0415;1169;477;0;0;0;0;0;0;0;0
3,0623;1180;481;0;0;0;0;0;0;0;0
3,0825;1188;484;0;0;0;0;0;0;0;0
3,1033;1193;485;0;0;0;0;0;0;0;0
3,1239;1200;489;0;0;0;0;0;0;0;0
3,1456;1206;493;0;0;0;0;0;0;0;0
3,1665;1208;494;0;0;0;0;0;0;0;0
3,1873;1192;496;0;0;0;0;0;0;0;0
3,2075;1112;502;0;0;0;0;0;0;0;0
3,2283;994;497;0;0;0;0;0;0;0;0
3,2491;891;494;0;0;0;0;0;0;0;0
3,2698;814;500;0;0;0;0;0;0;0;0
3,2907;783;503;0;0;0;0;0;0;0;0
3,3114;772;504;0;0;0;0;0;0;0;0
3,3322;757;509;0;0;0;0;0;0;0;0
3,3539;749;512;0;0;0;0;0;0;0;0
3,3741;743;514;0;0;0;0;0;0;0;0
3,3956;740;515;0;0;0;0;0;0;0;0
3,4156;738;516;0;0;0;0;0;0;0;0
3,4364;736;518;0;0;0;0;0;0;0;0
3,4572;734;520;0;0;0;0;0;0;0;0
3,4782;734;521;0;0;0;0;0;0;0;0
3,4989;733;523;0;0;0;0;0;0;0;0
3,5200;731;524;0;0;0;0;0;0;0;0
3,5406;729;523;0;0;0;0;0;0;0;0
3,5616;729;523;0;0;0;0;0;0;0;0
3,5823;729;523;0;0;0;0;0;0;0;0
3,6032;727;522;0;0;0;0;0;0;0;0
3,6238;727;522;0;0;0;0;0;0;0;0
3,6449;726;522;0;0;0;0;0;0;0;0
3,6654;727;524;0;0;0;0;0;0;0;0
3,6871;728;525;0;0;0;0;0;0;0;0
3,7073;735;526;0;0;0;0;0;0;0;0
3,7280;759;525;0;0;0;0;0;0;0;0
3,7490;789;524;0;0;0;0;0;0;0;0
3,7698;823;523;0;0;0;0;0;0;0;0
3,7904;843;520;0;0;0;0;0;0;0;0
3,8115;849;518;0;0;0;0;0;0;0;0
3,8321;863;517;0;0;0;0;0;0;0;0
3,8530;874;518;0;0;0;0;0;0;0;0
3,8747;879;522;0;0;0;0;0;0;0;0
