tiempo;estimulo_objetivo;x;y;matriz_estado
0,0000;Pinguino;1458;170;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,0200;Pinguino;1458;170;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,0449;Pinguino;1458;170;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,0657;Pinguino;1458;170;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,0862;Pinguino;1458;170;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,1071;Pinguino;1544;171;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,1281;Pinguino;1546;169;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,1487;Pinguino;1548;167;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,1694;Pinguino;1549;165;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,1904;Pinguino;1551;162;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,2113;Pinguino;1552;158;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,2321;Pinguino;1554;151;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,2529;Pinguino;1554;148;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,2737;Pinguino;1554;147;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,2946;Pinguino;1554;146;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,3153;Pinguino;1553;145;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,3363;Pinguino;1553;145;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,3571;Pinguino;1552;144;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,3778;Pinguino;1546;145;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,3989;Pinguino;1423;219;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,4196;Pinguino;1143;363;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,4407;Pinguino;936;435;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,4613;Pinguino;837;479;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,4819;Pinguino;805;494;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,5027;Pinguino;795;499;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,5236;Pinguino;790;503;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,5446;Pinguino;784;505;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,5654;Pinguino;789;503;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,5862;Pinguino;794;504;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,6071;Pinguino;796;510;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,6288;Pinguino;797;511;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,6494;Pinguino;796;508;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,6698;Pinguino;799;503;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,6904;Pinguino;801;502;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,7112;Pinguino;804;503;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,7323;Pinguino;806;501;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,7531;Pinguino;809;499;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,7738;Pinguino;813;498;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,7944;Pinguino;816;496;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,8156;Pinguino;826;490;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,8364;Pinguino;870;453;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,8568;Pinguino;870;453;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,8778;Pinguino;870;453;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,8986;Pinguino;870;453;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,9197;Pinguino;979;342;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,9403;Pinguino;964;361;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,9613;Pinguino;924;449;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
0,9819;Pinguino;900;481;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,0029;Pinguino;884;506;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,0237;Pinguino;880;515;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,0444;Pinguino;876;526;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,0653;Pinguino;872;531;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,0872;Pinguino;869;530;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,1080;Pinguino;865;525;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,1288;Pinguino;865;525;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,1488;Pinguino;865;525;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,1705;Pinguino;865;525;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,1906;Pinguino;1074;369;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,2112;Pinguino;1220;349;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,2319;Pinguino;1206;399;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,2527;Pinguino;1188;445;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,2736;Pinguino;1178;474;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,2944;Pinguino;1171;495;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,3153;Pinguino;1164;508;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,3361;Pinguino;1159;514;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,3568;Pinguino;1156;517;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,3784;Pinguino;1152;521;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,3987;Pinguino;1150;526;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,4193;Pinguino;1147;528;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,4412;Pinguino;1097;530;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,4620;Pinguino;968;525;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,4821;Pinguino;864;516;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,5037;Pinguino;784;512;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,5238;Pinguino;762;513;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,5446;Pinguino;737;518;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,5652;Pinguino;724;522;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,5859;Pinguino;721;518;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,6068;Pinguino;720;516;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,6277;Pinguino;718;517;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,6487;Pinguino;715;516;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,6696;Pinguino;714;516;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,6902;Pinguino;715;517;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
1,7111;Pinguino;714;516;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
