tiempo,vision x,vision y,tipo estimulo A,tipo estimulo B,tipo estimulo C,AX,AY,BX,BY,CX,CY,recargando?,municion
"0,0000",1519,149,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,0200",1520,147,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,0417",1518,146,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,0632",1518,146,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,0849",1486,162,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,1084",1519,146,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,1314",1520,148,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,1525",1477,181,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,1739",1399,242,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,1958",1331,294,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,2172",1281,318,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,2386",1253,328,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,2596",1248,341,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,2810",1246,352,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,3014",1247,357,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,3227",1249,361,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,3445",1247,360,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,3652",1237,358,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,3861",1124,385,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,4065",997,417,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,4272",918,434,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,4475",873,450,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,4680",863,454,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,4886",850,458,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,5094",842,457,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,5299",835,466,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,5505",826,453,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,5710",824,453,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,5917",824,453,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,6124",826,455,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,6335",827,462,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,6541",828,465,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,6749",829,466,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,6953",837,463,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,7155",842,462,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,7363",844,463,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,7567",846,460,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,7771",848,461,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,7975",851,463,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,8181",860,466,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,8389",870,468,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,8594",880,469,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,8801",884,467,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,9005",886,465,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,9210",891,463,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,9417",897,461,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,9622",897,453,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,9833",907,457,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,0039",911,455,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,0245",916,452,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,0445",922,454,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,0650",922,454,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,0853",922,454,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,1057",922,454,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,1261",922,454,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,1462",725,482,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,1669",702,485,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,1877",652,492,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,2083",607,497,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,2287",571,499,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,2489",549,501,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,2696",535,503,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,2900",529,502,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,3103",526,499,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,3310",521,495,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,3522",557,496,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,3736",607,492,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,3952",673,483,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,4162",742,481,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,4365",790,484,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,4584",820,486,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,4786",828,487,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,5004",838,489,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,5215",848,499,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,5424",854,490,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,5631",860,490,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,5844",860,488,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,6056",858,482,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,6268",857,483,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,6479",867,484,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,6685",908,485,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,6896",1064,482,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,7108",1135,479,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,7317",1239,472,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,7526",1282,470,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,7736",1299,469,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,7940",1306,461,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,8154",1313,465,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,8366",1318,469,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,8569",1324,471,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,8780",1326,472,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,8989",1326,470,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,9203",1322,465,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,9415",1322,465,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,9624",1322,465,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,9827",1322,465,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,0035",1322,465,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,0248",1107,447,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,0464",1075,446,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,0669",1046,445,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,0876",1032,428,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,1094",1025,420,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,1311",1004,425,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,1526",993,437,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,1734",983,445,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
