tiempo;vision x;vision y;tipo estimulo A;tipo estimulo B;tipo estimulo C;AX;AY;BX;BY;CX;CY;recargando?;municion
0,0000;1634;54;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;100
0,0200;1532;138;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,1410;1518;131;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,2123;1518;131;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,3408;1021;632;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,4690;987;647;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,5974;894;526;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,7258;875;501;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,8544;795;480;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
0,9824;644;438;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,1117;653;423;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,2550;346;483;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,3834;283;497;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,5287;461;478;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,6401;587;411;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,7686;587;411;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
1,8966;587;411;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,0411;1420;241;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,1694;809;550;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,2979;763;565;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,4261;767;561;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,5551;875;647;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,6834;877;640;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,8119;880;557;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
2,9406;915;502;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,0697;924;498;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,2133;845;695;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,3417;829;726;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,4698;374;749;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,5981;264;737;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,7264;327;701;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,8710;579;699;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
3,9994;583;696;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
4,1277;241;718;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
4,2561;226;702;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
4,4600;440;614;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
4,5287;385;641;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
4,6570;418;643;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
4,7855;432;636;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
4,9139;741;447;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
5,0421;801;410;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
5,1744;808;399;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
5,3151;816;393;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
5,4435;907;432;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
5,5718;1018;494;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
5,7001;981;462;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
5,8284;988;233;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
5,9567;1065;-241;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
6,0848;1065;-241;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
6,2223;1065;-241;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
6,3577;1065;-241;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
6,4861;573;-23;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
6,6143;561;-48;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
6,7429;815;503;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
6,8876;762;605;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
7,0159;762;626;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
7,1443;311;675;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
7,2726;352;635;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
7,4010;283;666;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
7,5297;1034;414;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
7,6736;978;433;Ninguno;Ninguno;Ninguno;-1;-1;-1;-1;-1;-1;False;0
