tiempo,vision x,vision y,tipo estimulo A,tipo estimulo B,tipo estimulo C,AX,AY,BX,BY,CX,CY,recargando?,municion
"0,0000",1535,119,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,0200",1528,118,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,0367",1520,122,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,0577",1423,187,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,0786",1301,285,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,0993",1224,346,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,1204",1181,379,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,1412",1158,393,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,1621",1151,402,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,1826",1149,404,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,2034",1145,406,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,2244",1143,410,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,2451",1143,414,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,2660",1144,415,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,2869",1145,416,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,3078",1144,419,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,3284",1142,420,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,3494",1140,420,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,3701",1142,421,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,3909",1143,422,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,4119",1143,423,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
