tiempo,vision x,vision y,tipo estimulo A,tipo estimulo B,tipo estimulo C,AX,AY,BX,BY,CX,CY,recargando?,municion
"0,0000",1032,388,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,0200",1030,390,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,0450",1030,390,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,0705",1030,391,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,0952",1030,392,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,1187",1029,393,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,1427",1031,393,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,1661",1031,392,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,1908",1032,392,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,2151",1034,392,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,2388",1034,392,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,2621",1034,390,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,2849",1033,389,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,3080",1035,389,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,3311",1036,389,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,3540",1037,389,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,3767",1038,388,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,3997",1008,389,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,4226",905,396,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,4449",750,412,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,4672",654,421,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,4893",601,426,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,5119",573,427,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,5345",560,430,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,5570",555,435,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,5795",553,437,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,6017",552,435,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,6243",552,435,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,6462",555,436,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,6690",559,438,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,6913",563,440,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,7133",567,442,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,7354",572,443,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,7578",588,444,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,7803",661,450,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,8024",743,462,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,8253",804,473,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,8477",849,479,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,8700",879,481,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,8925",899,483,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,9151",915,485,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,9379",927,487,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,9606",937,490,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,9830",947,492,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,0060",936,491,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,0284",910,490,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,0510",893,492,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,0735",880,494,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,0959",869,496,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,1182",859,498,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,1407",850,501,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,1636",840,502,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,1857",792,497,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,2079",741,496,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,2300",703,499,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,2524",680,499,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,2750",665,499,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,2982",656,498,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,3208",687,499,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"1,3436",761,497,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,3663",828,496,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,3896",888,495,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,4121",928,494,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,4348",953,494,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,4580",986,492,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,4807",1050,489,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,5032",1084,489,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,5262",1108,491,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,5493",1125,490,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,5717",1136,490,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,5943",1140,491,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,6182",1166,487,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,6407",1219,485,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,6637",1260,485,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,6862",1288,484,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,7091",1307,485,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,7320",1318,485,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,7545",1324,485,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,7774",1329,484,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
"1,8000",1331,485,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,700
