tiempo,vision x,vision y,tipo estimulo A,tipo estimulo B,tipo estimulo C,AX,AY,BX,BY,CX,CY,recargando?,municion
"0,0000",1522,101,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,0200",1523,99,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,0429",1522,100,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,0637",1502,110,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,0845",1405,203,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,1054",1326,284,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,1261",1276,328,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,1470",1261,339,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,1679",1246,353,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,1886",1240,364,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,2096",1239,369,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,2303",1237,372,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,2513",1235,374,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,2721",1234,374,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,2929",1233,374,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,3138",1233,374,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,3347",1233,373,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,3555",1231,373,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,3763",1194,380,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,3972",1071,412,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,4180",869,449,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,4388",752,473,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,4597",687,488,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,4805",670,492,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,5014",654,498,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,5222",649,497,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,5429",648,496,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,5638",645,497,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,5847",642,500,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,6053",642,501,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,6263",642,502,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,6470",643,504,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,6679",645,503,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,6888",670,497,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,7095",684,494,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,7305",695,492,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,7512",705,491,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,7720",718,489,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,7929",729,485,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,8136",736,482,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,8344",740,481,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,8553",747,478,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,8762",756,476,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,8971",767,475,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,9178",778,474,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,9387",789,473,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,9597",815,470,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,9805",851,470,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,0011",865,472,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,0220",888,475,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,0428",903,478,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,0638",912,481,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,0845",920,481,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,1053",930,480,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,1261",957,478,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,1469",989,476,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,1677",1000,475,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,1887",1018,472,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,2094",1034,472,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,2303",1042,469,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,2511",1048,468,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,2720",1085,470,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,2928",1166,471,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,3138",1226,475,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"1,3344",1246,476,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,3553",1275,474,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,3761",1290,475,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,3970",1299,473,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,4180",1307,472,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,4386",1314,473,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,4594",1315,474,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,4802",1318,472,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,5010",1320,470,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,5219",1321,467,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,5427",1241,469,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,5638",1241,469,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,5844",1241,469,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,6053",860,353,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,6261",741,316,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,6470",735,188,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,6675",706,191,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,6885",674,212,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,7094",652,244,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,7304",641,281,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,7512",633,311,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,7719",625,326,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,7927",617,337,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,8136",561,302,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,8343",525,273,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,8551",453,213,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,8760",406,181,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,8969",379,163,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,9177",365,155,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,9386",357,154,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,9593",349,152,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"1,9803",346,152,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,0009",344,151,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,0218",337,150,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,0427",333,150,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,0636",330,148,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,0844",327,148,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,1051",326,150,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,1260",319,153,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,1467",315,156,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,1675",315,157,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,1884",315,158,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,2092",370,144,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,2301",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,2509",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,2718",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,2926",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,3134",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,3344",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,3550",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,3764",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,3968",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,4175",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,4384",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,4592",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,4800",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,5008",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,5216",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,5425",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,5633",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,5841",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,6049",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,6257",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,6468",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,6675",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,6883",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,7091",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,7299",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,7507",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,7715",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,7924",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,8133",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,8341",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,8549",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
"2,8757",372,145,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,False,500
