tiempo,vision x,vision y,tipo estimulo A,tipo estimulo B,tipo estimulo C,AX,AY,BX,BY,CX,CY,recargando?,municion
"0,0000",1501,104,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,0200",1501,100,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,0426",1501,100,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,0630",1501,100,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,0835",1501,100,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,1050",1501,100,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,1257",1501,100,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,1464",1357,164,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,1669",1336,179,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,1860",1301,224,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,2041",1278,267,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,2233",1248,329,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,2418",1233,364,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,2593",1228,373,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,2788",1121,359,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,2987",1103,381,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,3178",1096,390,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,3361",1088,398,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,3547",1086,402,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,3733",1086,403,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,3907",1084,405,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,4106",1081,406,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,4292",1071,408,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,4468",1039,408,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,4654",896,416,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
"0,4846",785,423,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,500
