tiempo,vision x,vision y,tipo estimulo A,tipo estimulo B,tipo estimulo C,AX,AY,BX,BY,CX,CY,recargando?,municion
"0,0000",1652,131,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,0200",1655,127,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,0371",1656,124,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,0581",1655,122,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,0789",1654,120,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,0996",1655,118,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,1208",1655,116,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,1414",1654,113,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,1621",1633,117,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,1831",1655,110,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,2039",1656,108,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,2246",1633,117,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,2454",1634,118,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,2664",1634,117,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,2871",1634,118,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,3079",1630,116,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,3291",1544,184,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,3499",1427,266,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,3706",1355,311,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,3914",1312,343,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,4121",1299,352,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,4333",1282,363,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,4539",1342,319,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,4746",1320,337,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,4956",1310,350,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,5166",1302,356,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
"0,5374",1296,358,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,300
