tiempo,vision x,vision y,tipo estimulo A,tipo estimulo B,tipo estimulo C,AX,AY,BX,BY,CX,CY,recargando?,municion
"0,0000",1486,105,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,0200",1483,107,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,0452",1483,109,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,0686",1484,110,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,0869",1484,110,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,1100",1480,111,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,1346",1474,113,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,1592",1409,129,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,1759",1450,172,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,2008",1210,241,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,2188",1173,260,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,2369",1127,285,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,2600",1103,303,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,2770",1091,310,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,2941",1089,311,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,3114",1083,312,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,3368",1079,311,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,3542",1073,311,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,3766",1067,314,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,3934",1058,312,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,4111",1020,315,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,4285",986,322,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,4456",922,340,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,4631",902,344,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,4811",877,351,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,5010",843,364,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,5178",843,364,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
"0,5350",775,358,Ninguno,Ninguno,Ninguno,-1,-1,-1,-1,-1,-1,True,700
